strain,stress,displacement,ture_strain,ture_stress
1.406758626,391.3330828,0.21101379399999998,1.3969556064141901,396.8381946986807
1.424967448,395.90444229999997,0.21374511699999998,1.4149102157855888,401.5459517279609
1.444803874,400.34342610000004,0.21672058100000002,1.4344660381576841,406.1276034295971
1.461893717,404.83203010000005,0.219284058,1.45131106421481,410.75024411243555
1.480712891,409.53161939999995,0.22210693399999998,1.4698573659190048,415.5956068811768
1.50004069,414.4546322,0.22500610399999998,1.4889013380369849,420.67162032458987
1.51763916,419.54723590000003,0.227645874,1.5062382222503046,425.914449046716
1.535847982,424.77224860000007,0.230377197,1.5241732228307805,431.29610460821914
1.555175781,430.1709983,0.23327636699999998,1.5432068548448739,436.86091348244753
1.5728759769999998,435.5738941000001,0.23593139600000002,1.5606344783479933,442.4249312423824
1.591593424,441.014005,0.23873901399999997,1.5790603843227304,448.033154902499
